iso_code,country,risk_score,narrative
CUB,Cuba,44.6,"Cuba's climate risk is moderate (score: 44.6/100 as of 2024). Per-capita emissions are relatively low at 2.2 tonnes. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
THA,Thailand,44.3,"Thailand's climate risk is moderate (score: 44.3/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.1% year-over-year). Key priorities: accelerating renewable adoption."
ZAF,South Africa,44.3,"South Africa's climate risk is moderate (score: 44.3/100 as of 2024). Per-capita emissions stand at 6.9 tonnes. Coal accounts for 84% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption."
CPV,Cape Verde,43.9,"Cape Verde's climate risk is moderate (score: 43.9/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.0% year-over-year). Key priorities: accelerating renewable adoption."
GTM,Guatemala,43.6,"Guatemala's climate risk is moderate (score: 43.6/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
GNQ,Equatorial Guinea,43.0,"Equatorial Guinea's climate risk is moderate (score: 43.0/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.4% year-over-year). Key priorities: accelerating renewable adoption."
LBY,Libya,42.9,Libya's climate risk is moderate (score: 42.9/100 as of 2024). Per-capita emissions stand at 8.8 tonnes. Emissions are increasing (+1.6% year-over-year). Key priorities: accelerating renewable adoption.
GUY,Guyana,42.5,"Guyana's climate risk is moderate (score: 42.5/100 as of 2024). Per-capita emissions stand at 5.4 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.0% year-over-year). Key priorities: accelerating renewable adoption."
IRQ,Iraq,42.4,Iraq's climate risk is moderate (score: 42.4/100 as of 2024). Per-capita emissions stand at 5.1 tonnes. Emissions are increasing (+2.5% year-over-year).
SUR,Suriname,41.8,"Suriname's climate risk is moderate (score: 41.8/100 as of 2024). Per-capita emissions are relatively low at 4.7 tonnes. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
MUS,Mauritius,41.6,"Mauritius's climate risk is moderate (score: 41.6/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Coal accounts for 34% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.9% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
SLV,El Salvador,41.6,"El Salvador's climate risk is moderate (score: 41.6/100 as of 2024). Per-capita emissions are relatively low at 1.4 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.5% year-over-year). Key priorities: accelerating renewable adoption."
JAM,Jamaica,41.0,"Jamaica's climate risk is moderate (score: 41.0/100 as of 2024). Per-capita emissions are relatively low at 3.0 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.1% year-over-year). Key priorities: accelerating renewable adoption."
COL,Colombia,40.1,"Colombia's climate risk is moderate (score: 40.1/100 as of 2024). Per-capita emissions are relatively low at 1.8 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.0% year-over-year). Key priorities: accelerating renewable adoption."
BRN,Brunei,40.0,"Brunei's climate risk is low (score: 40.0/100 as of 2024). Per-capita emissions are very high at 26.0 tonnes, significantly above the global average. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.6% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
OMN,Oman,39.8,"Oman's climate risk is low (score: 39.8/100 as of 2024). Per-capita emissions are very high at 15.7 tonnes, significantly above the global average. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.6% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
ROU,Romania,39.6,"Romania's climate risk is low (score: 39.6/100 as of 2024). Per-capita emissions are relatively low at 3.6 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.0% year-over-year). Key priorities: accelerating renewable adoption."
CHN,China,39.4,"China's climate risk is low (score: 39.4/100 as of 2024). Per-capita emissions stand at 8.7 tonnes. Coal accounts for 72% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption."
PAN,Panama,39.4,"Panama's climate risk is low (score: 39.4/100 as of 2024). Per-capita emissions are relatively low at 2.8 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.6% year-over-year). Key priorities: accelerating renewable adoption."
MNG,Mongolia,39.1,"Mongolia's climate risk is low (score: 39.1/100 as of 2024). Per-capita emissions stand at 12.9 tonnes. Coal accounts for 87% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.2% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
EGY,Egypt,39.0,"Egypt's climate risk is low (score: 39.0/100 as of 2024). Per-capita emissions are relatively low at 2.2 tonnes. Renewable energy adoption is low at 12%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.3% year-over-year). Key priorities: accelerating renewable adoption."
PER,Peru,38.6,"Peru's climate risk is low (score: 38.6/100 as of 2024). Per-capita emissions are relatively low at 2.1 tonnes. Renewable energy adoption is low at 9%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+6.3% year-over-year). Key priorities: accelerating renewable adoption."
SAU,Saudi Arabia,37.8,"Saudi Arabia's climate risk is low (score: 37.8/100 as of 2024). Per-capita emissions are very high at 20.4 tonnes, significantly above the global average. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.2% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
AZE,Azerbaijan,37.6,"Azerbaijan's climate risk is low (score: 37.6/100 as of 2024). Per-capita emissions are relatively low at 3.9 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-6.8% year-over-year). Key priorities: accelerating renewable adoption."
LBN,Lebanon,37.4,"Lebanon's climate risk is low (score: 37.4/100 as of 2024). Per-capita emissions are relatively low at 2.7 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
GRD,Grenada,37.1,"Grenada's climate risk is low (score: 37.1/100 as of 2024). Per-capita emissions are relatively low at 3.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption."
TTO,Trinidad and Tobago,36.6,"Trinidad and Tobago's climate risk is low (score: 36.6/100 as of 2024). Per-capita emissions are very high at 22.9 tonnes, significantly above the global average. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.7% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
LCA,Saint Lucia,36.3,"Saint Lucia's climate risk is low (score: 36.3/100 as of 2024). Per-capita emissions are relatively low at 3.0 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption."
TUN,Tunisia,36.1,"Tunisia's climate risk is low (score: 36.1/100 as of 2024). Per-capita emissions are relatively low at 2.7 tonnes. Renewable energy adoption is low at 14%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.9% year-over-year). Key priorities: accelerating renewable adoption."
MNE,Montenegro,35.7,"Montenegro's climate risk is low (score: 35.7/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Coal accounts for 54% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
MKD,North Macedonia,35.7,"North Macedonia's climate risk is low (score: 35.7/100 as of 2024). Per-capita emissions are relatively low at 3.6 tonnes. Coal accounts for 37% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-9.8% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
MEX,Mexico,35.6,"Mexico's climate risk is low (score: 35.6/100 as of 2024). Per-capita emissions are relatively low at 3.5 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
MDA,Moldova,35.5,"Moldova's climate risk is low (score: 35.5/100 as of 2024). Per-capita emissions are relatively low at 1.8 tonnes. Renewable energy adoption is low at 11%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
TUR,Turkey,35.5,"Turkey's climate risk is low (score: 35.5/100 as of 2024). Per-capita emissions stand at 5.9 tonnes. Coal accounts for 41% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 9%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.4% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
GEO,Georgia,35.5,"Georgia's climate risk is low (score: 35.5/100 as of 2024). Per-capita emissions are relatively low at 3.1 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.2% year-over-year). Key priorities: accelerating renewable adoption."
BIH,Bosnia and Herzegovina,34.8,"Bosnia and Herzegovina's climate risk is low (score: 34.8/100 as of 2024). Per-capita emissions stand at 6.1 tonnes. Coal accounts for 71% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
ARG,Argentina,34.6,"Argentina's climate risk is low (score: 34.6/100 as of 2024). Per-capita emissions are relatively low at 3.7 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are decreasing (-4.1% year-over-year). Key priorities: accelerating renewable adoption."
UKR,Ukraine,34.4,"Ukraine's climate risk is low (score: 34.4/100 as of 2024). Per-capita emissions are relatively low at 3.8 tonnes. Coal accounts for 38% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
BRB,Barbados,34.3,"Barbados's climate risk is low (score: 34.3/100 as of 2024). Per-capita emissions are relatively low at 4.8 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.6% year-over-year). Key priorities: accelerating renewable adoption."
MAR,Morocco,34.3,"Morocco's climate risk is low (score: 34.3/100 as of 2024). Per-capita emissions are relatively low at 1.8 tonnes. Coal accounts for 33% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption."
JPN,Japan,33.9,"Japan's climate risk is low (score: 33.9/100 as of 2024). Per-capita emissions stand at 7.8 tonnes. Coal accounts for 40% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.5% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
MYS,Malaysia,33.8,"Malaysia's climate risk is low (score: 33.8/100 as of 2024). Per-capita emissions stand at 8.2 tonnes. Coal accounts for 34% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.0% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
ARE,United Arab Emirates,33.7,"United Arab Emirates's climate risk is low (score: 33.7/100 as of 2024). Per-capita emissions are very high at 20.1 tonnes, significantly above the global average. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.5% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
SGP,Singapore,33.5,"Singapore's climate risk is low (score: 33.5/100 as of 2024). Per-capita emissions stand at 9.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.6% year-over-year). Key priorities: accelerating renewable adoption."
TKM,Turkmenistan,33.3,"Turkmenistan's climate risk is low (score: 33.3/100 as of 2024). Per-capita emissions stand at 10.8 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-15.1% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
HRV,Croatia,33.1,"Croatia's climate risk is low (score: 33.1/100 as of 2024). Per-capita emissions are relatively low at 4.8 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
ALB,Albania,33.0,Albania's climate risk is low (score: 33.0/100 as of 2024). Per-capita emissions are relatively low at 1.6 tonnes.
IRN,Iran,32.9,"Iran's climate risk is low (score: 32.9/100 as of 2024). Per-capita emissions stand at 8.7 tonnes. Renewable energy adoption is low at 10%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
VEN,Venezuela,32.8,"Venezuela's climate risk is low (score: 32.8/100 as of 2024). Per-capita emissions are relatively low at 4.1 tonnes. Renewable energy adoption is low at 14%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.0% year-over-year). Key priorities: accelerating renewable adoption."
CRI,Costa Rica,32.7,"Costa Rica's climate risk is low (score: 32.7/100 as of 2024). Per-capita emissions are relatively low at 1.7 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.4% year-over-year). Key priorities: accelerating renewable adoption."
PRY,Paraguay,32.5,"Paraguay's climate risk is low (score: 32.5/100 as of 2024). Per-capita emissions are relatively low at 1.1 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
BRA,Brazil,32.4,"Brazil's climate risk is low (score: 32.4/100 as of 2024). Per-capita emissions are relatively low at 2.3 tonnes. Renewable energy adoption is low at 10%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
TJK,Tajikistan,32.2,"Tajikistan's climate risk is low (score: 32.2/100 as of 2024). Per-capita emissions are relatively low at 1.0 tonnes. Coal accounts for 41% of CO₂ emissions, indicating heavy fossil fuel dependency. Emissions are increasing (+4.6% year-over-year). Key priorities: phasing out coal."
URY,Uruguay,32.1,"Uruguay's climate risk is low (score: 32.1/100 as of 2024). Per-capita emissions are relatively low at 2.4 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.5% year-over-year). Key priorities: accelerating renewable adoption."
SVK,Slovakia,32.1,"Slovakia's climate risk is low (score: 32.1/100 as of 2024). Per-capita emissions stand at 5.3 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-5.4% year-over-year). Key priorities: accelerating renewable adoption."
KOR,South Korea,31.8,"South Korea's climate risk is low (score: 31.8/100 as of 2024). Per-capita emissions stand at 11.3 tonnes. Coal accounts for 42% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
JOR,Jordan,31.6,"Jordan's climate risk is low (score: 31.6/100 as of 2024). Per-capita emissions are relatively low at 2.0 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
BGR,Bulgaria,31.5,"Bulgaria's climate risk is low (score: 31.5/100 as of 2024). Per-capita emissions are relatively low at 4.7 tonnes. Coal accounts for 33% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 9%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-8.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
UZB,Uzbekistan,31.3,"Uzbekistan's climate risk is low (score: 31.3/100 as of 2024). Per-capita emissions are relatively low at 3.8 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+13.3% year-over-year). Key priorities: accelerating renewable adoption."
DZA,Algeria,31.0,"Algeria's climate risk is low (score: 31.0/100 as of 2024). Per-capita emissions are relatively low at 4.2 tonnes. Renewable energy adoption is low at 14%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.3% year-over-year). Key priorities: accelerating renewable adoption."
KWT,Kuwait,30.8,"Kuwait's climate risk is low (score: 30.8/100 as of 2024). Per-capita emissions are very high at 26.2 tonnes, significantly above the global average. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.2% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
EST,Estonia,29.9,"Estonia's climate risk is low (score: 29.9/100 as of 2024). Per-capita emissions stand at 6.1 tonnes. Coal accounts for 55% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are decreasing (-5.0% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
HUN,Hungary,29.6,"Hungary's climate risk is low (score: 29.6/100 as of 2024). Per-capita emissions are relatively low at 4.1 tonnes. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
NLD,Netherlands,29.4,"Netherlands's climate risk is low (score: 29.4/100 as of 2024). Per-capita emissions stand at 6.3 tonnes. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.9% year-over-year). Key priorities: accelerating renewable adoption."
LTU,Lithuania,29.1,"Lithuania's climate risk is low (score: 29.1/100 as of 2024). Per-capita emissions are relatively low at 4.4 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
ARM,Armenia,28.9,"Armenia's climate risk is low (score: 28.9/100 as of 2024). Per-capita emissions are relatively low at 2.5 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
QAT,Qatar,28.9,"Qatar's climate risk is low (score: 28.9/100 as of 2024). Per-capita emissions are very high at 41.3 tonnes, significantly above the global average. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.2% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
LVA,Latvia,28.7,"Latvia's climate risk is low (score: 28.7/100 as of 2024). Per-capita emissions are relatively low at 3.5 tonnes. Renewable energy adoption is low at 9%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.9% year-over-year). Key priorities: accelerating renewable adoption."
CYP,Cyprus,28.7,"Cyprus's climate risk is low (score: 28.7/100 as of 2024). Per-capita emissions stand at 5.4 tonnes. Renewable energy adoption is low at 13%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.5% year-over-year). Key priorities: accelerating renewable adoption."
KAZ,Kazakhstan,26.9,"Kazakhstan's climate risk is low (score: 26.9/100 as of 2024). Per-capita emissions stand at 13.9 tonnes. Coal accounts for 56% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
ITA,Italy,26.8,"Italy's climate risk is low (score: 26.8/100 as of 2024). Per-capita emissions stand at 5.1 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.3% year-over-year). Key priorities: accelerating renewable adoption."
DNK,Denmark,26.4,"Denmark's climate risk is low (score: 26.4/100 as of 2024). Per-capita emissions are relatively low at 4.7 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.6% year-over-year). Key priorities: accelerating renewable adoption."
CHL,Chile,26.2,"Chile's climate risk is low (score: 26.2/100 as of 2024). Per-capita emissions are relatively low at 4.0 tonnes. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.4% year-over-year). Key priorities: accelerating renewable adoption."
BEL,Belgium,26.0,"Belgium's climate risk is low (score: 26.0/100 as of 2024). Per-capita emissions stand at 7.3 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
GRC,Greece,26.0,"Greece's climate risk is low (score: 26.0/100 as of 2024). Per-capita emissions stand at 5.3 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.6% year-over-year). Key priorities: accelerating renewable adoption."
RUS,Russia,25.4,"Russia's climate risk is low (score: 25.4/100 as of 2024). Per-capita emissions stand at 12.3 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.7% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
KGZ,Kyrgyzstan,25.4,"Kyrgyzstan's climate risk is low (score: 25.4/100 as of 2024). Per-capita emissions are relatively low at 1.6 tonnes. Coal accounts for 48% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 11%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+5.6% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
AUS,Australia,24.5,"Australia's climate risk is low (score: 24.5/100 as of 2024). Per-capita emissions stand at 14.5 tonnes. Coal accounts for 37% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
POL,Poland,24.3,"Poland's climate risk is low (score: 24.3/100 as of 2024). Per-capita emissions stand at 7.1 tonnes. Coal accounts for 47% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.7% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption."
ISL,Iceland,24.2,"Iceland's climate risk is low (score: 24.2/100 as of 2024). Per-capita emissions stand at 9.7 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+8.4% year-over-year). Key priorities: accelerating renewable adoption."
SVN,Slovenia,24.0,"Slovenia's climate risk is low (score: 24.0/100 as of 2024). Per-capita emissions stand at 6.0 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Emissions are rapidly increasing (+6.2% year-over-year). Key priorities: accelerating renewable adoption."
BLR,Belarus,23.9,"Belarus's climate risk is low (score: 23.9/100 as of 2024). Per-capita emissions stand at 6.2 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
MLT,Malta,22.9,"Malta's climate risk is low (score: 22.9/100 as of 2024). Per-capita emissions are relatively low at 3.2 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are decreasing (-2.2% year-over-year). Key priorities: accelerating renewable adoption."
SWE,Sweden,22.2,"Sweden's climate risk is low (score: 22.2/100 as of 2024). Per-capita emissions are relatively low at 3.6 tonnes. Renewable energy adoption is low at 8%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.8% year-over-year). Key priorities: accelerating renewable adoption."
NCL,New Caledonia,22.1,"New Caledonia's climate risk is low (score: 22.1/100 as of 2024). Per-capita emissions are very high at 18.1 tonnes, significantly above the global average. Coal accounts for 54% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 1%, presenting a major opportunity for decarbonization. Emissions are increasing (+4.3% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
USA,United States,22.1,"United States's climate risk is low (score: 22.1/100 as of 2024). Per-capita emissions stand at 14.2 tonnes. Renewable energy adoption is low at 5%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption, implementing carbon pricing."
TWN,Taiwan,21.8,"Taiwan's climate risk is low (score: 21.8/100 as of 2024). Per-capita emissions stand at 11.3 tonnes. Coal accounts for 54% of CO₂ emissions, indicating heavy fossil fuel dependency. Renewable energy adoption is low at 2%, presenting a major opportunity for decarbonization. Emissions are decreasing (-1.8% year-over-year). Key priorities: phasing out coal, accelerating renewable adoption, implementing carbon pricing."
IRL,Ireland,21.7,"Ireland's climate risk is low (score: 21.7/100 as of 2024). Per-capita emissions stand at 6.3 tonnes. Renewable energy adoption is low at 7%, presenting a major opportunity for decarbonization. Key priorities: accelerating renewable adoption."
PRT,Portugal,21.5,"Portugal's climate risk is low (score: 21.5/100 as of 2024). Per-capita emissions are relatively low at 3.4 tonnes. Renewable energy adoption is low at 11%, presenting a major opportunity for decarbonization. Emissions are rapidly declining (-5.5% year-over-year). Key priorities: accelerating renewable adoption."
DEU,Germany,21.2,"Germany's climate risk is low (score: 21.2/100 as of 2024). Per-capita emissions stand at 6.8 tonnes. Renewable energy adoption is low at 3%, presenting a major opportunity for decarbonization. Emissions are decreasing (-3.6% year-over-year). Key priorities: accelerating renewable adoption."
CXR,Christmas Island,20.9,Christmas Island's climate risk is low (score: 20.9/100 as of 2024). Per-capita emissions are relatively low at nan tonnes.
VAT,Vatican,20.9,Vatican's climate risk is low (score: 20.9/100 as of 2024). Per-capita emissions are relatively low at nan tonnes.
FRO,Faroe Islands,20.6,"Faroe Islands's climate risk is low (score: 20.6/100 as of 2024). Per-capita emissions stand at 13.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.5% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
CUW,Curacao,20.6,"Curacao's climate risk is low (score: 20.6/100 as of 2024). Per-capita emissions stand at 12.3 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
SXM,Sint Maarten (Dutch part),20.6,"Sint Maarten (Dutch part)'s climate risk is low (score: 20.6/100 as of 2024). Per-capita emissions are very high at 16.5 tonnes, significantly above the global average. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.9% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
LUX,Luxembourg,20.6,"Luxembourg's climate risk is low (score: 20.6/100 as of 2024). Per-capita emissions stand at 10.5 tonnes. Renewable energy adoption is low at 4%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.9% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
GRL,Greenland,20.5,"Greenland's climate risk is low (score: 20.5/100 as of 2024). Per-capita emissions stand at 11.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+1.6% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
AIA,Anguilla,20.5,"Anguilla's climate risk is low (score: 20.5/100 as of 2024). Per-capita emissions stand at 10.1 tonnes. Renewable energy adoption is low at 0%, presenting a major opportunity for decarbonization. Emissions are increasing (+3.5% year-over-year). Key priorities: accelerating renewable adoption, implementing carbon pricing."
NZL,New Zealand,20.5,"New Zealand's climate risk is low (score: 20.5/100 as of 2024). Per-capita emissions stand at 6.2 tonnes. Renewable energy adoption is low at 6%, presenting a major opportunity for decarbonization. Emissions are increasing (+2.9% year-over-year). Key priorities: accelerating renewable adoption."
